geoid10,landareasqm,waterareasqm,intptlat10,intptlon10,historicalgrizzlyrange,disttocurrentgrizzlyrangem,dev_share,crop_share,pasture_share,gasslands_share,startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q_recaptchascore,q_ballotboxstuffing,state,q27,q29,q1,q2,q3,q35,q54_1,q54_2,q54_3,q28_1,q28_2,q28_3,q3645,q20,q32,q21,q22,q23,q25,q24,q26,q3654,q30,q31,q34,opp,transaction_id,svid,rid,risn,gc,term,region,ls,ps
2459,12958671,254764,42.314777,-71.192017,0,3012254,.69,0,0,0,2023-05-30T08:19:16Z,2023-05-30T08:22:52Z,IP Address,73.16.134.136,100,215,TRUE,2023-05-30T08:22:52Z,R_rjWjH4YtsoAKJPz,NA,NA,NA,NA,42.354,-71.184998,anonymous,EN,1,NA,Massachusetts,60 to 64 years,Male,Important,Not informed at all,Not informed at all,NA,4,4,1,4,4,1,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Associate degree,Moderate,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],03cmWTEMqELRtjZHNL1JL2,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2472,10455350,344302,42.36945,-71.177925,0,3011581,1,0,0,0,2023-05-30T08:34:11Z,2023-05-30T08:39:56Z,IP Address,71.26.141.41,100,344,TRUE,2023-05-30T08:39:56Z,R_1pxJEZuSvsi8lP2,NA,NA,NA,NA,42.372501,-71.181396,anonymous,EN,1,NA,Massachusetts,60 to 64 years,Male,Important,Slightly informed,Slightly informed,NA,5+,2,1,5+,2,1,Increase (more lenient) thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Very conservative,"Between $65,000 and $74,999",Qual37847-0505-GrizzlyBears-[BM],5eRA0NYaIzzsouX1re91nq,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2532,36962585,6867296,41.751759,-70.597549,0,3078291,.34999999,0,0,.039999999,2023-05-30T09:46:13Z,2023-05-30T09:52:18Z,IP Address,75.67.205.237,100,364,TRUE,2023-05-30T09:52:19Z,R_1P8cl9lB1AD6ovA,NA,NA,NA,NA,41.746498,-70.5914,anonymous,EN,1,NA,Massachusetts,85 years or more,Male,Important,Slightly informed,Slightly informed,NA,4,2,1,4,2,1,Increase (more lenient) thresholds,More than 15 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Conservative,"Between $65,000 and $74,999",Qual37847-0505-GrizzlyBears-[BM],50odZur54xke4PUx8MnPOn,15905568,NA,NA,1,NA,National,{Invalid Expression},593
2638,15369511,1419162,41.730244,-70.197395,0,3110688,.38,0,0,0,2023-05-30T09:16:18Z,2023-05-30T09:19:04Z,IP Address,216.107.236.98,100,166,TRUE,2023-05-30T09:19:05Z,R_2wcLFKVlAZciJUF,NA,NA,NA,NA,42.962101,-71.448997,anonymous,EN,1,NA,Massachusetts,35 to 44 years,Female,Important,Not informed at all,Not informed at all,NA,2,4,4,4,3,3,Increase (more lenient) thresholds,1 to 5 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Very conservative,"Between $15,000 and $24,999",Qual37847-0505-GrizzlyBears-[BM],28TaKl1C6TdhewGjWYhuTy,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2721,10570630,5102058,41.675125,-71.148277,0,3037553,.56999999,0,0,0,2023-05-30T08:21:53Z,2023-05-30T08:32:16Z,IP Address,24.2.142.217,100,622,TRUE,2023-05-30T08:32:17Z,R_1KpYeEcpMq2M1T5,NA,NA,NA,NA,41.6931,-71.132698,anonymous,EN,0.8999999761581421,NA,Massachusetts,35 to 44 years,Female,Slightly important,Not informed at all,Not informed at all,NA,1,5+,5+,3,1,1,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Moderate,"Between $15,000 and $24,999",Qual37847-0505-GrizzlyBears-[BM],4bSQfiLvjx3dnn72N9vFKk,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2723,4136130,569750,41.692703,-71.129723,0,3038343,1,0,0,0,2023-05-30T08:14:10Z,2023-05-30T08:17:45Z,IP Address,73.227.29.132,100,214,TRUE,2023-05-30T08:17:45Z,R_3MmKCdTnmOifX1S,NA,NA,NA,NA,41.928299,-70.023598,anonymous,EN,0.8999999761581421,NA,Massachusetts,25 to 34 years,Female,Slightly important,Not informed at all,Not informed at all,NA,4,3,4,Unlimited (never remove),1,2,Decrease (more strict) thresholds,1 to 5 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Liberal,"Between $50,000 and $64,999",Qual37847-0505-GrizzlyBears-[BM],6417Wtw44DiqBS5oEtOkF4,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2906,8392085,1782236,41.840168,-71.390411,0,3012690,.69999999,0,0,0,2023-05-30T09:57:25Z,2023-05-30T10:02:00Z,IP Address,96.233.158.197,100,274,TRUE,2023-05-30T10:02:01Z,R_1JXjjQiMHxPoG9s,NA,NA,NA,NA,41.8307,-71.398201,anonymous,EN,0.8999999761581421,NA,Rhode Island,65 to 74 years,Male,Slightly important,Slightly informed,Not informed at all,NA,3,3,3,3,3,3,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Conservative,"Between $100,000 and $149,999",Qual37847-0505-GrizzlyBears-[BM],1D3LiJFLAMvhSBERvqnjEc,15954811,NA,NA,1,NA,National,{Invalid Expression},696
2917,55272962,2854115,41.906288,-71.523811,0,2999741,.38999999,0,.02,.02,2023-05-30T10:28:21Z,2023-05-30T10:33:37Z,IP Address,100.40.26.65,100,315,TRUE,2023-05-30T10:33:38Z,R_Ug3X5VU1qbmVwIx,NA,NA,NA,NA,41.854698,-71.473602,anonymous,EN,1,NA,Rhode Island,85 years or more,Male,Slightly important,Slightly informed,Slightly informed,NA,3,2,1,5+,3,2,Decrease (more strict) thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Moderate,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],7pmnrNx5fokea8uDAfhBeQ,15954811,NA,NA,1,NA,National,{Invalid Expression},696
3054,84397686,2212441,42.852032,-71.519875,0,2969286,.30000001,0,.0099999998,0,2023-05-30T10:51:40Z,2023-05-30T10:59:10Z,IP Address,73.227.136.66,100,449,TRUE,2023-05-30T10:59:11Z,R_eICiFIWQoBVgiUV,NA,NA,NA,NA,42.863701,-71.513199,anonymous,EN,1,NA,New Hampshire,75 to 84 years,Male,Very important,Slightly informed,Slightly informed,NA,2,2,3,1,3,4,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,NA,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Very conservative,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],7gLzgec47OIxfuC9TG0bDi,15954811,NA,NA,1,NA,National,{Invalid Expression},696
3222,188550171,13998499,43.643715,-71.799278,0,2925825,.029999999,0,0,0,2023-05-30T09:14:35Z,2023-05-30T09:20:21Z,IP Address,76.37.66.0,100,345,TRUE,2023-05-30T09:20:21Z,R_bathgwy0Fkk4bip,NA,NA,NA,NA,43.8423,-71.660797,anonymous,EN,1,NA,New Hampshire,55 to 59 years,Female,Very important,Not informed at all,Not informed at all,NA,1,5+,5+,Unlimited (never remove),2,1,Decrease (more strict) thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Liberal,"Between $50,000 and $64,999",Qual37847-0505-GrizzlyBears-[BM],2g8NxPwEAr3DR4n19DMaGQ,15954811,NA,NA,1,NA,National,{Invalid Expression},696
3867,76623391,783567,43.301678,-70.991768,0,2997364,.25999999,0,.029999999,.0099999998,2023-05-30T08:08:03Z,2023-05-30T08:13:15Z,IP Address,73.227.66.139,100,312,TRUE,2023-05-30T08:13:16Z,R_ptHv72LtYESnLj3,NA,NA,NA,NA,43.304401,-70.979401,anonymous,EN,1,NA,New Hampshire,65 to 74 years,Female,Important,Slightly informed,Not informed at all,NA,4,5+,2,4,4,4,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,Encountered bear from unsafe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Conservative,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],6e4eKvIfg58S5E2bXnT53z,15954811,NA,NA,1,NA,National,{Invalid Expression},696
4074,123200752,12983598,43.589626,-70.366188,0,3037634,.16,0,.050000001,.0099999998,2023-05-30T08:16:05Z,2023-05-30T08:26:57Z,IP Address,24.59.210.163,100,651,TRUE,2023-05-30T08:26:57Z,R_26mCLTicqNuGzgW,NA,NA,NA,NA,43.5825,-70.351303,anonymous,EN,1,NA,Maine,45 to 54 years,Male,Very important,Not informed at all,Not informed at all,NA,5+,2,1,Unlimited (never remove),1,1,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Moderate,"Between $100,000 and $149,999",Qual37847-0505-GrizzlyBears-[BM],3RNC3hx0U7M9OEWgNsWbAl,15954811,NA,NA,1,NA,National,{Invalid Expression},696
4079,55063616,96522950,43.790604,-69.971489,0,3062266,.039999999,0,0,0,2023-05-30T10:17:24Z,2023-05-30T10:22:03Z,IP Address,73.17.61.97,100,279,TRUE,2023-05-30T10:22:04Z,R_1hz2gsDfOmJTY5g,NA,NA,NA,NA,43.8209,-69.9664,anonymous,EN,0.8999999761581421,NA,Maine,35 to 44 years,Male,Very important,Not informed at all,Not informed at all,NA,5+,5+,5+,2,1,1,Increase (more lenient) thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Liberal,"Between $65,000 and $74,999",Qual37847-0505-GrizzlyBears-[BM],6ik4YdIfym4SI3DyC4yfcB,15954811,NA,NA,1,NA,National,{Invalid Expression},696
4429,182714002,16172568,44.721237,-68.617073,0,3141794,.0099999998,0,.02,0,2023-05-30T10:37:19Z,2023-05-30T10:49:37Z,IP Address,72.95.111.190,100,737,TRUE,2023-05-30T10:49:37Z,R_1CmtlfJbSeFaVcW,NA,NA,NA,NA,44.718102,-68.616203,anonymous,EN,0.8999999761581421,NA,Maine,60 to 64 years,Male,Very important,Not informed at all,Not informed at all,NA,3,4,5+,2,4,2,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Moderate,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],5FSA2UHhtcETFX12K2isOh,15954811,NA,NA,1,NA,National,{Invalid Expression},696
4462,3031943431,266372899,45.995838,-68.928345,0,3084675,.0099999998,.0099999998,0,.0099999998,2023-05-30T08:13:31Z,2023-05-30T08:22:38Z,IP Address,72.73.119.2,100,546,TRUE,2023-05-30T08:22:39Z,R_2s0e1q8DVTPdtOR,NA,NA,NA,NA,45.020302,-69.2743,anonymous,EN,1,NA,Maine,65 to 74 years,Male,Very important,Slightly informed,Slightly informed,NA,2,4,5+,Unlimited (never remove),2,1,Decrease (more strict) thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Associate degree,Conservative,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],5VLjsHkujQAu8mq3d2x8Qe,15905568,NA,NA,1,NA,National,{Invalid Expression},593
4856,56048967,5970640,44.180603,-69.122108,0,3117759,.1,0,.02,0,2023-05-30T08:30:08Z,2023-05-30T08:35:58Z,IP Address,67.253.6.246,100,350,TRUE,2023-05-30T08:35:59Z,R_Ut1gweK2rgrd6yB,NA,NA,NA,NA,44.112301,-69.115402,anonymous,EN,1,NA,Maine,65 to 74 years,Female,Important,Not informed at all,Not informed at all,NA,4,2,1,4,2,1,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Conservative,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],1PYMxg5dd43Ggako8WtZ9M,15954811,NA,NA,1,NA,National,{Invalid Expression},696
6053,20740443,131730,41.688038,-72.793472,0,2906901,.82999998,0,0,0,2023-05-30T08:45:26Z,2023-05-30T08:50:16Z,IP Address,172.59.8.207,100,289,TRUE,2023-05-30T08:50:17Z,R_2wLV9uSPbrw2NNb,NA,NA,NA,NA,41.666901,-72.772598,anonymous,EN,1,NA,Connecticut,35 to 44 years,Female,Very important,Slightly informed,Slightly informed,NA,1,1,5+,Unlimited (never remove),Unlimited (never remove),1,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Moderate,"Between $100,000 and $149,999",Qual37847-0505-GrizzlyBears-[BM],4jYPElhp2QbfMeka8lL3pz,15954811,NA,NA,1,NA,National,{Invalid Expression},696
6790,107724552,1485507,41.834072,-73.131409,0,2875328,.22,.0099999998,.029999999,0,2023-05-30T08:35:22Z,2023-05-30T08:39:06Z,IP Address,69.113.247.97,100,224,TRUE,2023-05-30T08:39:07Z,R_2CHy2xhj5U3DcZG,NA,NA,NA,NA,41.8139,-73.112297,anonymous,EN,0.8999999761581421,NA,Connecticut,75 to 84 years,Female,Very important,Not informed at all,Not informed at all,NA,5+,3,1,Unlimited (never remove),5+,1,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Moderate,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],2sLzhAN2vlM0NiwVcKFaCh,15954811,NA,NA,1,NA,National,{Invalid Expression},696
6801,43909724,156161,41.369778,-73.389503,0,2870473,.25999999,0,.02,0,2023-05-30T09:02:19Z,2023-05-30T09:04:46Z,IP Address,67.186.186.107,100,146,TRUE,2023-05-30T09:04:46Z,R_2s78ImzsLt97BZU,NA,NA,NA,NA,41.381302,-73.403503,anonymous,EN,0.8999999761581421,NA,Connecticut,35 to 44 years,Female,Very important,Very informed,Slightly informed,NA,3,3,3,4,3,4,Decrease (more strict) thresholds,11 to 15 times,Agree,11 to 15 times,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Moderate,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],2SjjmhGA1eVJPvQQU6iCYe,15954811,NA,NA,1,NA,National,{Invalid Expression},696
6810,53648302,686975,41.374283,-73.457611,0,2865156,.47999999,0,.02,0,2023-05-30T11:13:28Z,2023-05-30T11:16:17Z,IP Address,174.233.247.152,100,169,TRUE,2023-05-30T11:16:18Z,R_27PWjSKfz054KAW,NA,NA,NA,NA,41.5382,-72.800797,anonymous,EN,1,NA,Connecticut,35 to 44 years,Male,Very important,Not informed at all,Not informed at all,NA,3,2,1,3,1,1,Decrease (more strict) thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Moderate,"Between $100,000 and $149,999",Qual37847-0505-GrizzlyBears-[BM],19BROAyh6GdWu2pcOpKRFF,15954811,NA,NA,1,NA,National,{Invalid Expression},696
6824,52146563,3345885,41.173038,-73.280815,0,2886573,.46000001,0,.02,0,2023-05-30T10:57:49Z,2023-05-30T11:04:12Z,IP Address,67.85.204.97,100,382,TRUE,2023-05-30T11:04:13Z,R_1jMPfHdjpeS2dMM,NA,NA,NA,NA,41.168201,-73.268898,anonymous,EN,0.800000011920929,NA,Connecticut,25 to 34 years,Female,Slightly important,Not informed at all,Not informed at all,NA,2,1,1,3,2,1,Decrease (more strict) thresholds,1 to 5 times,Agree,1 to 5 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Moderate,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],4fnrr24gg2by7aiT0xQWEI,15954811,NA,NA,1,NA,National,{Invalid Expression},696
7018,4390917,0,40.755829,-74.217827,0,2827542,1,0,0,0,2023-05-30T09:07:42Z,2023-05-30T09:10:49Z,IP Address,73.160.218.146,100,187,TRUE,2023-05-30T09:10:50Z,R_1d7cytbyauGneeV,NA,NA,NA,NA,40.7523,-74.217201,anonymous,EN,0.8999999761581421,NA,New Jersey,25 to 34 years,Female,Important,Slightly informed,Slightly informed,NA,2,1,1,Unlimited (never remove),1,1,Increase (more lenient) thresholds,6 to 10 times,Agree,1 to 5 times,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Liberal,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],5WqLcNqzwXkzsCRDq6jRd2,15954811,NA,NA,1,NA,National,{Invalid Expression},696
7076,23328440,85993,40.63303,-74.372902,0,2819760,.55000001,0,0,0,2023-05-30T09:00:05Z,2023-05-30T09:02:44Z,IP Address,69.248.231.41,100,158,TRUE,2023-05-30T09:02:45Z,R_Zg9V5oyp0yKHw0V,NA,NA,NA,NA,40.648399,-74.824501,anonymous,EN,0.8999999761581421,NA,New Jersey,55 to 59 years,Male,Not important at all,Not informed at all,Not informed at all,NA,1,1,1,1,1,1,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Conservative,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],4Ddtb1rA8rUE1KEd2rzyy3,15954811,NA,NA,1,NA,National,{Invalid Expression},696
7305,14957649,964799,40.698151,-74.080978,0,2840633,.93000001,0,0,0,2023-05-30T08:21:22Z,2023-05-30T08:24:34Z,IP Address,174.230.186.172,100,191,TRUE,2023-05-30T08:24:35Z,R_1osX567m983EVm5,NA,NA,NA,NA,40.6129,-74.416,anonymous,EN,0.8999999761581421,NA,New Jersey,20 to 24 years,Female,Important,Informed,Informed,NA,3,3,3,3,3,3,Increase (more lenient) thresholds,6 to 10 times,Agree,6 to 10 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Liberal,"Between $25,000 and $34,999",Qual37847-0505-GrizzlyBears-[BM],03t8i1PTr3Id3E89pdyNPv,15954811,NA,NA,1,NA,National,{Invalid Expression},696
7421,67014530,5317220,41.17374,-74.352615,0,2800935,.13,.0099999998,.0099999998,0,2023-05-30T08:37:08Z,2023-05-30T08:41:43Z,IP Address,173.3.238.137,100,274,TRUE,2023-05-30T08:41:44Z,R_CeQhwMjfwksrUjv,NA,NA,NA,NA,40.536499,-74.596199,anonymous,EN,1,NA,New Jersey,55 to 59 years,Male,Slightly important,Not informed at all,Not informed at all,NA,5+,4,1,Unlimited (never remove),4,1,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Conservative,"Between $15,000 and $24,999",Qual37847-0505-GrizzlyBears-[BM],3Ut1hWOz2f9O3Xao1SbkkZ,15905568,NA,NA,1,NA,National,{Invalid Expression},593
